1764682238.417145 server started (68603): version 3.6, socket /private/tmp/tmux-501/default, protocol 8
1764682238.417196 on Darwin 24.5.0 Darwin Kernel Version 24.5.0: Tue Apr 22 19:54:43 PDT 2025; root:xnu-11417.121.6~2/RELEASE_ARM64_T8132
1764682238.417207 using libevent 2.1.12-stable select
1764682238.417220 using utf8proc 2.11.2
1764682238.417228 using ncurses 6.5 20240427
1764682238.417628 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1764682238.417635 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1764682238.417641 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
1764682238.417647 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1764682238.417653 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1764682238.417659 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1764682238.417665 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
1764682238.417670 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
1764682238.417676 input_key_build: 0x20000010e26b (C-NPage) is \033[6;5~
1764682238.417692 input_key_build: 0x20000010e26c (C-PPage) is \033[5;5~
1764682238.417697 input_key_build: 0x20000010e26e (C-Up) is \033[1;5A
1764682238.417703 input_key_build: 0x20000010e26f (C-Down) is \033[1;5B
1764682238.417707 input_key_build: 0x20000010e270 (C-Left) is \033[1;5D
1764682238.417712 input_key_build: 0x20000010e271 (C-Right) is \033[1;5C
1764682238.417716 input_key_build: 0x40000010e25b (S-F1) is \033[1;2P
1764682238.417722 input_key_build: 0x40000010e25c (S-F2) is \033[1;2Q
1764682238.417727 input_key_build: 0x40000010e25d (S-F3) is \033[1;2R
1764682238.417733 input_key_build: 0x40000010e25e (S-F4) is \033[1;2S
1764682238.417738 input_key_build: 0x40000010e25f (S-F5) is \033[15;2~
1764682238.417743 input_key_build: 0x40000010e260 (S-F6) is \033[17;2~
1764682238.417748 input_key_build: 0x40000010e261 (S-F7) is \033[18;2~
1764682238.417753 input_key_build: 0x40000010e262 (S-F8) is \033[19;2~
1764682238.417758 input_key_build: 0x40000010e263 (S-F9) is \033[20;2~
1764682238.417763 input_key_build: 0x40000010e264 (S-F10) is \033[21;2~
1764682238.417770 input_key_build: 0x40000010e265 (S-F11) is \033[23;2~
1764682238.417776 input_key_build: 0x40000010e266 (S-F12) is \033[24;2~
1764682238.417781 input_key_build: 0x40000010e267 (S-IC) is \033[2;2~
1764682238.417785 input_key_build: 0x40000010e268 (S-DC) is \033[3;2~
1764682238.417789 input_key_build: 0x40000010e269 (S-Home) is \033[1;2H
1764682238.417793 input_key_build: 0x40000010e26a (S-End) is \033[1;2F
1764682238.417798 input_key_build: 0x40000010e26b (S-NPage) is \033[6;2~
1764682238.417803 input_key_build: 0x40000010e26c (S-PPage) is \033[5;2~
1764682238.417808 input_key_build: 0x40000010e26e (S-Up) is \033[1;2A
1764682238.417819 input_key_build: 0x40000010e26f (S-Down) is \033[1;2B
1764682238.417825 input_key_build: 0x40000010e270 (S-Left) is \033[1;2D
1764682238.417829 input_key_build: 0x40000010e271 (S-Right) is \033[1;2C
1764682238.417834 input_key_build: 0x60000010e25b (C-S-F1) is \033[1;6P
1764682238.417838 input_key_build: 0x60000010e25c (C-S-F2) is \033[1;6Q
1764682238.417842 input_key_build: 0x60000010e25d (C-S-F3) is \033[1;6R
1764682238.417847 input_key_build: 0x60000010e25e (C-S-F4) is \033[1;6S
1764682238.417851 input_key_build: 0x60000010e25f (C-S-F5) is \033[15;6~
1764682238.417856 input_key_build: 0x60000010e260 (C-S-F6) is \033[17;6~
1764682238.417860 input_key_build: 0x60000010e261 (C-S-F7) is \033[18;6~
1764682238.417864 input_key_build: 0x60000010e262 (C-S-F8) is \033[19;6~
1764682238.417869 input_key_build: 0x60000010e263 (C-S-F9) is \033[20;6~
1764682238.417873 input_key_build: 0x60000010e264 (C-S-F10) is \033[21;6~
1764682238.417877 input_key_build: 0x60000010e265 (C-S-F11) is \033[23;6~
1764682238.417882 input_key_build: 0x60000010e266 (C-S-F12) is \033[24;6~
1764682238.417887 input_key_build: 0x60000010e267 (C-S-IC) is \033[2;6~
1764682238.417891 input_key_build: 0x60000010e268 (C-S-DC) is \033[3;6~
1764682238.417895 input_key_build: 0x60000010e269 (C-S-Home) is \033[1;6H
1764682238.417900 input_key_build: 0x60000010e26a (C-S-End) is \033[1;6F
1764682238.417904 input_key_build: 0x60000010e26b (C-S-NPage) is \033[6;6~
1764682238.417910 input_key_build: 0x60000010e26c (C-S-PPage) is \033[5;6~
1764682238.417915 input_key_build: 0x60000010e26e (C-S-Up) is \033[1;6A
1764682238.417921 input_key_build: 0x60000010e26f (C-S-Down) is \033[1;6B
1764682238.417928 input_key_build: 0x60000010e270 (C-S-Left) is \033[1;6D
1764682238.417932 input_key_build: 0x60000010e271 (C-S-Right) is \033[1;6C
1764682238.417937 input_key_build: 0x200000010e272 (KP/[K]) is \033Oo
1764682238.417943 input_key_build: 0x200000010e273 (KP*[K]) is \033Oj
1764682238.417949 input_key_build: 0x200000010e274 (KP-[K]) is \033Om
1764682238.417955 input_key_build: 0x200000010e275 (KP7[K]) is \033Ow
1764682238.417961 input_key_build: 0x200000010e276 (KP8[K]) is \033Ox
1764682238.417967 input_key_build: 0x200000010e277 (KP9[K]) is \033Oy
1764682238.417972 input_key_build: 0x200000010e278 (KP+[K]) is \033Ok
1764682238.417986 input_key_build: 0x200000010e279 (KP4[K]) is \033Ot
1764682238.417991 input_key_build: 0x200000010e27a (KP5[K]) is \033Ou
1764682238.417996 input_key_build: 0x200000010e27b (KP6[K]) is \033Ov
1764682238.418002 input_key_build: 0x200000010e27c (KP1[K]) is \033Oq
1764682238.418007 input_key_build: 0x200000010e27d (KP2[K]) is \033Or
1764682238.418012 input_key_build: 0x200000010e27e (KP3[K]) is \033Os
1764682238.418017 input_key_build: 0x200000010e27f (KPEnter[K]) is \033OM
1764682238.418022 input_key_build: 0x200000010e280 (KP0[K]) is \033Op
1764682238.418028 input_key_build: 0x200000010e281 (KP.[K]) is \033On
1764682238.418032 input_key_build: 0x400000010e26e (Up[C]) is \033OA
1764682238.418038 input_key_build: 0x400000010e26f (Down[C]) is \033OB
1764682238.418044 input_key_build: 0x400000010e270 (Left[C]) is \033OD
1764682238.418049 input_key_build: 0x400000010e271 (Right[C]) is \033OC
1764682238.418055 input_key_build: 0x800000010e003 (PasteStart[I]) is \033[200~
1764682238.418060 input_key_build: 0x800000010e004 (PasteEnd[I]) is \033[201~
1764682238.418066 input_key_build: 0x810000010e25b (M-F1[I]) is \033[1;3P
1764682238.418072 input_key_build: 0x810000010e25c (M-F2[I]) is \033[1;3Q
1764682238.418077 input_key_build: 0x810000010e25d (M-F3[I]) is \033[1;3R
1764682238.418082 input_key_build: 0x810000010e25e (M-F4[I]) is \033[1;3S
1764682238.418087 input_key_build: 0x810000010e25f (M-F5[I]) is \033[15;3~
1764682238.418093 input_key_build: 0x810000010e260 (M-F6[I]) is \033[17;3~
1764682238.418098 input_key_build: 0x810000010e261 (M-F7[I]) is \033[18;3~
1764682238.418103 input_key_build: 0x810000010e262 (M-F8[I]) is \033[19;3~
1764682238.418108 input_key_build: 0x810000010e263 (M-F9[I]) is \033[20;3~
1764682238.418114 input_key_build: 0x810000010e264 (M-F10[I]) is \033[21;3~
1764682238.418119 input_key_build: 0x810000010e265 (M-F11[I]) is \033[23;3~
1764682238.418124 input_key_build: 0x810000010e266 (M-F12[I]) is \033[24;3~
1764682238.418129 input_key_build: 0x810000010e267 (M-IC[I]) is \033[2;3~
1764682238.418134 input_key_build: 0x810000010e268 (M-DC[I]) is \033[3;3~
1764682238.418140 input_key_build: 0x810000010e269 (M-Home[I]) is \033[1;3H
1764682238.418145 input_key_build: 0x810000010e26a (M-End[I]) is \033[1;3F
1764682238.418150 input_key_build: 0x810000010e26b (M-NPage[I]) is \033[6;3~
1764682238.418156 input_key_build: 0x810000010e26c (M-PPage[I]) is \033[5;3~
1764682238.418161 input_key_build: 0x810000010e26e (M-Up[I]) is \033[1;3A
1764682238.418166 input_key_build: 0x810000010e26f (M-Down[I]) is \033[1;3B
1764682238.418171 input_key_build: 0x810000010e270 (M-Left[I]) is \033[1;3D
1764682238.418176 input_key_build: 0x810000010e271 (M-Right[I]) is \033[1;3C
1764682238.418181 input_key_build: 0x830000010e25b (C-M-F1[I]) is \033[1;7P
1764682238.418187 input_key_build: 0x830000010e25c (C-M-F2[I]) is \033[1;7Q
1764682238.418192 input_key_build: 0x830000010e25d (C-M-F3[I]) is \033[1;7R
1764682238.418197 input_key_build: 0x830000010e25e (C-M-F4[I]) is \033[1;7S
1764682238.418202 input_key_build: 0x830000010e25f (C-M-F5[I]) is \033[15;7~
1764682238.418209 input_key_build: 0x830000010e260 (C-M-F6[I]) is \033[17;7~
1764682238.418214 input_key_build: 0x830000010e261 (C-M-F7[I]) is \033[18;7~
1764682238.418218 input_key_build: 0x830000010e262 (C-M-F8[I]) is \033[19;7~
1764682238.418223 input_key_build: 0x830000010e263 (C-M-F9[I]) is \033[20;7~
1764682238.418230 input_key_build: 0x830000010e264 (C-M-F10[I]) is \033[21;7~
1764682238.418235 input_key_build: 0x830000010e265 (C-M-F11[I]) is \033[23;7~
1764682238.418240 input_key_build: 0x830000010e266 (C-M-F12[I]) is \033[24;7~
1764682238.418245 input_key_build: 0x830000010e267 (C-M-IC[I]) is \033[2;7~
1764682238.418250 input_key_build: 0x830000010e268 (C-M-DC[I]) is \033[3;7~
1764682238.418255 input_key_build: 0x830000010e269 (C-M-Home[I]) is \033[1;7H
1764682238.418260 input_key_build: 0x830000010e26a (C-M-End[I]) is \033[1;7F
1764682238.418265 input_key_build: 0x830000010e26b (C-M-NPage[I]) is \033[6;7~
1764682238.418271 input_key_build: 0x830000010e26c (C-M-PPage[I]) is \033[5;7~
1764682238.418282 input_key_build: 0x830000010e26e (C-M-Up[I]) is \033[1;7A
1764682238.418288 input_key_build: 0x830000010e26f (C-M-Down[I]) is \033[1;7B
1764682238.418294 input_key_build: 0x830000010e270 (C-M-Left[I]) is \033[1;7D
1764682238.418299 input_key_build: 0x830000010e271 (C-M-Right[I]) is \033[1;7C
1764682238.418304 input_key_build: 0x850000010e25b (M-S-F1[I]) is \033[1;4P
1764682238.418310 input_key_build: 0x850000010e25c (M-S-F2[I]) is \033[1;4Q
1764682238.418318 input_key_build: 0x850000010e25d (M-S-F3[I]) is \033[1;4R
1764682238.418324 input_key_build: 0x850000010e25e (M-S-F4[I]) is \033[1;4S
1764682238.418330 input_key_build: 0x850000010e25f (M-S-F5[I]) is \033[15;4~
1764682238.418336 input_key_build: 0x850000010e260 (M-S-F6[I]) is \033[17;4~
1764682238.418342 input_key_build: 0x850000010e261 (M-S-F7[I]) is \033[18;4~
1764682238.418348 input_key_build: 0x850000010e262 (M-S-F8[I]) is \033[19;4~
1764682238.418353 input_key_build: 0x850000010e263 (M-S-F9[I]) is \033[20;4~
1764682238.418358 input_key_build: 0x850000010e264 (M-S-F10[I]) is \033[21;4~
1764682238.418364 input_key_build: 0x850000010e265 (M-S-F11[I]) is \033[23;4~
1764682238.418369 input_key_build: 0x850000010e266 (M-S-F12[I]) is \033[24;4~
1764682238.418374 input_key_build: 0x850000010e267 (M-S-IC[I]) is \033[2;4~
1764682238.418380 input_key_build: 0x850000010e268 (M-S-DC[I]) is \033[3;4~
1764682238.418385 input_key_build: 0x850000010e269 (M-S-Home[I]) is \033[1;4H
1764682238.418391 input_key_build: 0x850000010e26a (M-S-End[I]) is \033[1;4F
1764682238.418397 input_key_build: 0x850000010e26b (M-S-NPage[I]) is \033[6;4~
1764682238.418402 input_key_build: 0x850000010e26c (M-S-PPage[I]) is \033[5;4~
1764682238.418407 input_key_build: 0x850000010e26e (M-S-Up[I]) is \033[1;4A
1764682238.418412 input_key_build: 0x850000010e26f (M-S-Down[I]) is \033[1;4B
1764682238.418418 input_key_build: 0x850000010e270 (M-S-Left[I]) is \033[1;4D
1764682238.418423 input_key_build: 0x850000010e271 (M-S-Right[I]) is \033[1;4C
1764682238.418428 input_key_build: 0x870000010e25b (C-M-S-F1[I]) is \033[1;8P
1764682238.418433 input_key_build: 0x870000010e25c (C-M-S-F2[I]) is \033[1;8Q
1764682238.418438 input_key_build: 0x870000010e25d (C-M-S-F3[I]) is \033[1;8R
1764682238.418443 input_key_build: 0x870000010e25e (C-M-S-F4[I]) is \033[1;8S
1764682238.418448 input_key_build: 0x870000010e25f (C-M-S-F5[I]) is \033[15;8~
1764682238.418454 input_key_build: 0x870000010e260 (C-M-S-F6[I]) is \033[17;8~
1764682238.418459 input_key_build: 0x870000010e261 (C-M-S-F7[I]) is \033[18;8~
1764682238.418464 input_key_build: 0x870000010e262 (C-M-S-F8[I]) is \033[19;8~
1764682238.418469 input_key_build: 0x870000010e263 (C-M-S-F9[I]) is \033[20;8~
1764682238.418474 input_key_build: 0x870000010e264 (C-M-S-F10[I]) is \033[21;8~
1764682238.418479 input_key_build: 0x870000010e265 (C-M-S-F11[I]) is \033[23;8~
1764682238.418485 input_key_build: 0x870000010e266 (C-M-S-F12[I]) is \033[24;8~
1764682238.418490 input_key_build: 0x870000010e267 (C-M-S-IC[I]) is \033[2;8~
1764682238.418496 input_key_build: 0x870000010e268 (C-M-S-DC[I]) is \033[3;8~
1764682238.418501 input_key_build: 0x870000010e269 (C-M-S-Home[I]) is \033[1;8H
1764682238.418506 input_key_build: 0x870000010e26a (C-M-S-End[I]) is \033[1;8F
1764682238.418512 input_key_build: 0x870000010e26b (C-M-S-NPage[I]) is \033[6;8~
1764682238.418517 input_key_build: 0x870000010e26c (C-M-S-PPage[I]) is \033[5;8~
1764682238.418523 input_key_build: 0x870000010e26e (C-M-S-Up[I]) is \033[1;8A
1764682238.418529 input_key_build: 0x870000010e26f (C-M-S-Down[I]) is \033[1;8B
1764682238.418534 input_key_build: 0x870000010e270 (C-M-S-Left[I]) is \033[1;8D
1764682238.418539 input_key_build: 0x870000010e271 (C-M-S-Right[I]) is \033[1;8C
1764682238.418575 yylex_token: end at WS
1764682238.418582 yylex_token: bind
1764682238.418588 yylex_token: end at WS
1764682238.418593 yylex_token: -N
1764682238.418600 yylex_token: end at WS
1764682238.418605 yylex_token: Send the prefix key
1764682238.418610 yylex_token: end at WS
1764682238.418615 yylex_token: C-b
1764682238.418621 yylex_token: end at WS
1764682238.418637 yylex_token: send-prefix
1764682238.418646 cmd_parse_build_commands 0:0: bind
1764682238.418651 cmd_parse_build_commands 0:1: -N
1764682238.418656 cmd_parse_build_commands 0:2: Send the prefix key
1764682238.418661 cmd_parse_build_commands 0:3: C-b
1764682238.418667 cmd_parse_build_commands 0:4 0:0: send-prefix
1764682238.418683 cmd_parse_build_commands 0:0: send-prefix
1764682238.418698 args_parse: flags end at 1 of 1
1764682238.418706 cmd_parse_build_commands: send-prefix
1764682238.418711 args_parse_flags: next -N
1764682238.418717 args_parse_flag_argument: -N = Send the prefix key
1764682238.418723 args_parse_flags: next C-b
1764682238.418728 args_parse: flags end at 3 of 5
1764682238.418733 args_parse: 3 = C-b (type STRING)
1764682238.418747 args_parse: 4 = send-prefix (type COMMANDS)
1764682238.418765 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1764682238.418784 cmdq_get_command: [bind-key/0x143107df0] group 6
1764682238.418792 cmdq_append <global>: [bind-key/0x143107df0]
1764682238.418798 yylex_token: end at WS
1764682238.418803 yylex_token: bind
1764682238.418808 yylex_token: end at WS
1764682238.418814 yylex_token: -N
1764682238.418821 yylex_token: end at WS
1764682238.418826 yylex_token: Rotate through the panes
1764682238.418831 yylex_token: end at WS
1764682238.418836 yylex_token: C-o
1764682238.418841 yylex_token: end at WS
1764682238.418846 yylex_token: rotate-window
1764682238.418853 cmd_parse_build_commands 0:0: bind
1764682238.418858 cmd_parse_build_commands 0:1: -N
1764682238.418864 cmd_parse_build_commands 0:2: Rotate through the panes
1764682238.418869 cmd_parse_build_commands 0:3: C-o
1764682238.418874 cmd_parse_build_commands 0:4 0:0: rotate-window
1764682238.418881 cmd_parse_build_commands 0:0: rotate-window
1764682238.418888 args_parse: flags end at 1 of 1
1764682238.418895 cmd_parse_build_commands: rotate-window
1764682238.418901 args_parse_flags: next -N
1764682238.418906 args_parse_flag_argument: -N = Rotate through the panes
1764682238.418911 args_parse_flags: next C-o
1764682238.418916 args_parse: flags end at 3 of 5
1764682238.418921 args_parse: 3 = C-o (type STRING)
1764682238.418927 args_parse: 4 = rotate-window (type COMMANDS)
1764682238.418939 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1764682238.418946 cmdq_get_command: [bind-key/0x143108210] group 14
1764682238.418951 cmdq_append <global>: [bind-key/0x143108210]
1764682238.418957 yylex_token: end at WS
1764682238.418962 yylex_token: bind
1764682238.418968 yylex_token: end at WS
1764682238.418973 yylex_token: -N
1764682238.418979 yylex_token: end at WS
1764682238.418984 yylex_token: Suspend the current client
1764682238.418990 yylex_token: end at WS
1764682238.418995 yylex_token: C-z
1764682238.419001 yylex_token: end at WS
1764682238.419006 yylex_token: suspend-client
1764682238.419012 cmd_parse_build_commands 0:0: bind
1764682238.419017 cmd_parse_build_commands 0:1: -N
1764682238.419023 cmd_parse_build_commands 0:2: Suspend the current client
1764682238.419027 cmd_parse_build_commands 0:3: C-z
1764682238.419033 cmd_parse_build_commands 0:4 0:0: suspend-client
1764682238.419039 cmd_parse_build_commands 0:0: suspend-client
1764682238.419047 args_parse: flags end at 1 of 1
1764682238.419054 cmd_parse_build_commands: suspend-client
1764682238.419059 args_parse_flags: next -N
1764682238.419064 args_parse_flag_argument: -N = Suspend the current client
1764682238.419069 args_parse_flags: next C-z
1764682238.419074 args_parse: flags end at 3 of 5
1764682238.419079 args_parse: 3 = C-z (type STRING)
1764682238.419085 args_parse: 4 = suspend-client (type COMMANDS)
1764682238.419096 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1764682238.419104 cmdq_get_command: [bind-key/0x143108810] group 22
1764682238.419109 cmdq_append <global>: [bind-key/0x143108810]
1764682238.419114 yylex_token: end at WS
1764682238.419119 yylex_token: bind
1764682238.419124 yylex_token: end at WS
1764682238.419136 yylex_token: -N
1764682238.419142 yylex_token: end at WS
1764682238.419147 yylex_token: Select next layout
1764682238.419153 yylex_token: end at WS
1764682238.419158 yylex_token: Space
1764682238.419163 yylex_token: end at WS
1764682238.419168 yylex_token: next-layout
1764682238.419174 cmd_parse_build_commands 0:0: bind
1764682238.419180 cmd_parse_build_commands 0:1: -N
1764682238.419186 cmd_parse_build_commands 0:2: Select next layout
1764682238.419191 cmd_parse_build_commands 0:3: Space
1764682238.419197 cmd_parse_build_commands 0:4 0:0: next-layout
1764682238.419203 cmd_parse_build_commands 0:0: next-layout
1764682238.419210 args_parse: flags end at 1 of 1
1764682238.419216 cmd_parse_build_commands: next-layout
1764682238.419221 args_parse_flags: next -N
1764682238.419226 args_parse_flag_argument: -N = Select next layout
1764682238.419230 args_parse_flags: next Space
1764682238.419234 args_parse: flags end at 3 of 5
1764682238.419239 args_parse: 3 = Space (type STRING)
1764682238.419244 args_parse: 4 = next-layout (type COMMANDS)
1764682238.419255 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1764682238.419261 cmdq_get_command: [bind-key/0x143108b50] group 30
1764682238.419265 cmdq_append <global>: [bind-key/0x143108b50]
1764682238.419270 yylex_token: end at WS
1764682238.419274 yylex_token: bind
1764682238.419278 yylex_token: end at WS
1764682238.419282 yylex_token: -N
1764682238.419288 yylex_token: end at WS
1764682238.419292 yylex_token: Break pane to a new window
1764682238.419296 yylex_token: end at WS
1764682238.419300 yylex_token: !
1764682238.419306 yylex_token: end at WS
1764682238.419310 yylex_token: break-pane
1764682238.419315 cmd_parse_build_commands 0:0: bind
1764682238.419320 cmd_parse_build_commands 0:1: -N
1764682238.419324 cmd_parse_build_commands 0:2: Break pane to a new window
1764682238.419328 cmd_parse_build_commands 0:3: !
1764682238.419332 cmd_parse_build_commands 0:4 0:0: break-pane
1764682238.419339 cmd_parse_build_commands 0:0: break-pane
1764682238.419344 args_parse: flags end at 1 of 1
1764682238.419349 cmd_parse_build_commands: break-pane
1764682238.419353 args_parse_flags: next -N
1764682238.419358 args_parse_flag_argument: -N = Break pane to a new window
1764682238.419362 args_parse_flags: next !
1764682238.419366 args_parse: flags end at 3 of 5
1764682238.419370 args_parse: 3 = ! (type STRING)
1764682238.419375 args_parse: 4 = break-pane (type COMMANDS)
1764682238.419385 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1764682238.419391 cmdq_get_command: [bind-key/0x143108ea0] group 38
1764682238.419396 cmdq_append <global>: [bind-key/0x143108ea0]
1764682238.419400 yylex_token: end at WS
1764682238.419404 yylex_token: bind
1764682238.419408 yylex_token: end at WS
1764682238.419412 yylex_token: -N
1764682238.419417 yylex_token: end at WS
1764682238.419421 yylex_token: Split window vertically
1764682238.419426 yylex_token: end at WS
1764682238.419429 yylex_token: "
1764682238.419434 yylex_token: end at WS
1764682238.419438 yylex_token: split-window
1764682238.419443 cmd_parse_build_commands 0:0: bind
1764682238.419447 cmd_parse_build_commands 0:1: -N
1764682238.419451 cmd_parse_build_commands 0:2: Split window vertically
1764682238.419455 cmd_parse_build_commands 0:3: "
1764682238.419459 cmd_parse_build_commands 0:4 0:0: split-window
1764682238.419465 cmd_parse_build_commands 0:0: split-window
1764682238.419471 args_parse: flags end at 1 of 1
1764682238.419476 cmd_parse_build_commands: split-window
1764682238.419481 args_parse_flags: next -N
1764682238.419485 args_parse_flag_argument: -N = Split window vertically
1764682238.419489 args_parse_flags: next "
1764682238.419493 args_parse: flags end at 3 of 5
1764682238.419497 args_parse: 3 = " (type STRING)
1764682238.419502 args_parse: 4 = split-window (type COMMANDS)
1764682238.419512 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1764682238.419518 cmdq_get_command: [bind-key/0x143109520] group 46
1764682238.419522 cmdq_append <global>: [bind-key/0x143109520]
1764682238.419533 yylex_token: end at WS
1764682238.419537 yylex_token: bind
1764682238.419541 yylex_token: end at WS
1764682238.419546 yylex_token: -N
1764682238.419551 yylex_token: end at WS
1764682238.419555 yylex_token: List all paste buffers
1764682238.419559 yylex_token: end at WS
1764682238.419563 yylex_token: #
1764682238.419568 yylex_token: end at WS
1764682238.419582 yylex_token: list-buffers
1764682238.419587 cmd_parse_build_commands 0:0: bind
1764682238.419591 cmd_parse_build_commands 0:1: -N
1764682238.419595 cmd_parse_build_commands 0:2: List all paste buffers
1764682238.419599 cmd_parse_build_commands 0:3: #
1764682238.419604 cmd_parse_build_commands 0:4 0:0: list-buffers
1764682238.419609 cmd_parse_build_commands 0:0: list-buffers
1764682238.419614 args_parse: flags end at 1 of 1
1764682238.419619 cmd_parse_build_commands: list-buffers
1764682238.419623 args_parse_flags: next -N
1764682238.419628 args_parse_flag_argument: -N = List all paste buffers
1764682238.419632 args_parse_flags: next #
1764682238.419636 args_parse: flags end at 3 of 5
1764682238.419640 args_parse: 3 = # (type STRING)
1764682238.419645 args_parse: 4 = list-buffers (type COMMANDS)
1764682238.419655 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1764682238.419662 cmdq_get_command: [bind-key/0x1431097c0] group 54
1764682238.419667 cmdq_append <global>: [bind-key/0x1431097c0]
1764682238.419672 yylex_token: end at WS
1764682238.419676 yylex_token: bind
1764682238.419680 yylex_token: end at WS
1764682238.419684 yylex_token: -N
1764682238.419689 yylex_token: end at WS
1764682238.419693 yylex_token: Rename current session
1764682238.419697 yylex_token: end at WS
1764682238.419701 yylex_token: $
1764682238.419706 yylex_token: end at WS
1764682238.419710 yylex_token: command-prompt
1764682238.419714 yylex_token: end at WS
1764682238.419718 yylex_token: -I#S
1764682238.419723 yylex_token: end at WS
1764682238.419727 yylex_token: rename-session
1764682238.419731 yylex_token: end at WS
1764682238.419735 yylex_token: --
1764682238.419739 yylex_token: end at WS
1764682238.419743 yylex_token: %%
